2015-06-16
Edmonton Oilers,Dallas Stars,13/5,31/10,21/25
Chicago Blackhawks,Columbus Blue Jackets,17/25,13/4,331/100
Minnesota Wild,Calgary Flames,22/25,283/100,67/25
2015-03-27
Vancouver Canucks,Colorado Avalanche,73/100,303/100,79/25
Winnipeg Jets,Montreal Canadiens,34/25,259/100,177/100
2015-03-26
Detroit Red Wings,San Jose Sharks,26/25,287/100,217/100
Ottawa Senators,New York Rangers,151/100,271/100,38/25
Tampa Bay Lightning,Nashville Predators,11/10,139/50,21/10
Toronto Maple Leafs,Florida Panthers,23/10,281/100,1/1
Boston Bruins,Anaheim Ducks,27/20,27/10,43/25
Buffalo Sabres,Arizona Coyotes,179/100,131/50,133/100
Carolina Hurricanes,Pittsburgh Penguins,113/50,273/100,103/100
New York Islanders,Los Angeles Kings,77/50,53/20,151/100
Washington Capitals,New Jersey Devils,39/50,287/100,299/100
Calgary Flames,Dallas Stars,37/25,69/25,77/50
Edmonton Oilers,Colorado Avalanche,99/50,14/5,57/50
Philadelphia Flyers,Chicago Blackhawks,219/100,271/100,53/50
2015-03-25
Vancouver Canucks,Winnipeg Jets,103/100,139/50,227/100
Nashville Predators,Montreal Canadiens,32/25,131/50,37/20
2015-03-24
Detroit Red Wings,Arizona Coyotes,47/100,189/50,489/100
Tampa Bay Lightning,Florida Panthers,91/100,141/50,5/2
Columbus Blue Jackets,Anaheim Ducks,61/25,147/50,93/100
New York Islanders,Minnesota Wild,11/10,277/100,207/100
New York Rangers,Los Angeles Kings,107/100,27/10,223/100
Pittsburgh Penguins,St.Louis Blues,27/20,27/10,171/100
Edmonton Oilers,Winnipeg Jets,59/25,72/25,24/25
Calgary Flames,Colorado Avalanche,59/50,139/50,193/100
Dallas Stars,Buffalo Sabres,19/50,108/25,143/25
2015-03-23
Ottawa Senators,San Jose Sharks,5/4,141/50,181/100
Toronto Maple Leafs,Minnesota Wild,76/25,151/50,19/25
Carolina Hurricanes,Chicago Blackhawks,27/10,289/100,43/50
New Jersey Devils,Los Angeles Kings,117/50,271/100,1/1
Arizona Coyotes,Vancouver Canucks,283/100,59/20,41/50
2015-03-22
New York Rangers,Anaheim Ducks,7/5,273/100,41/25
Tampa Bay Lightning,Boston Bruins,47/50,291/100,59/25
Detroit Red Wings,St.Louis Blues,129/100,68/25,179/100
Edmonton Oilers,Philadelphia Flyers,49/25,283/100,23/20
Arizona Coyotes,Pittsburgh Penguins,84/25,311/100,17/25
Dallas Stars,Chicago Blackhawks,91/50,57/20,123/100
Nashville Predators,Buffalo Sabres,9/25,419/100,6/1
2015-03-21
Carolina Hurricanes,New York Rangers,233/100,139/50,1/1
Florida Panthers,Boston Bruins,81/50,53/20,143/100
Montreal Canadiens,San Jose Sharks,23/20,277/100,2/1
New Jersey Devils,New York Islanders,231/100,279/100,101/100
Ottawa Senators,Toronto Maple Leafs,69/100,163/50,163/50
Winnipeg Jets,Washington Capitals,38/25,271/100,38/25
e.fn.e.init[58]
2015-03-21
Calgary Flames,Columbus Blue Jackets,21/20,291/100,21/10
Los Angeles Kings,Vancouver Canucks,93/100,57/20,249/100
Minnesota Wild,St.Louis Blues,139/100,271/100,167/100
Anaheim Ducks,Colorado Avalanche,77/100,313/100,29/10
2015-03-20
Tampa Bay Lightning,Detroit Red Wings,24/25,297/100,233/100
Buffalo Sabres,New Jersey Devils,27/10,287/100,21/25
Arizona Coyotes,Colorado Avalanche,113/50,269/100,53/50
Vancouver Canucks,Columbus Blue Jackets,17/20,301/100,27/10
Calgary Flames,Philadelphia Flyers,121/100,68/25,48/25
Dallas Stars,Pittsburgh Penguins,37/25,69/25,153/100
Minnesota Wild,Washington Capitals,111/100,27/10,213/100
Winnipeg Jets,St.Louis Blues,89/50,67/25,33/25
2015-03-19
Florida Panthers,Detroit Red Wings,151/100,263/100,39/25
Montreal Canadiens,Carolina Hurricanes,79/100,291/100,29/10
Ottawa Senators,Boston Bruins,161/100,133/50,73/50
Toronto Maple Leafs,San Jose Sharks,59/25,147/50,19/20
Anaheim Ducks,Los Angeles Kings,157/100,257/100,31/20
Edmonton Oilers,Columbus Blue Jackets,83/50,137/50,27/20
New York Rangers,Chicago Blackhawks,23/20,69/25,201/100
2015-03-18
Vancouver Canucks,Philadelphia Flyers,111/100,137/50,53/25
Calgary Flames,St.Louis Blues,189/100,139/50,6/5
Chicago Blackhawks,New York Islanders,21/20,143/50,107/50
Nashville Predators,Minnesota Wild,131/100,261/100,91/50
Winnipeg Jets,San Jose Sharks,139/100,67/25,83/50
2015-03-17
Boston Bruins,Buffalo Sabres,17/50,113/25,311/50
Florida Panthers,Montreal Canadiens,38/25,261/100,39/25
Carolina Hurricanes,Ottawa Senators,17/10,137/50,67/50
New Jersey Devils,Pittsburgh Penguins,189/100,131/50,63/50
Los Angeles Kings,Arizona Coyotes,12/25,363/100,123/25
Edmonton Oilers,Toronto Maple Leafs,69/50,57/20,81/50
2015-03-16
Tampa Bay Lightning,Montreal Canadiens,33/25,269/100,177/100
Buffalo Sabres,Washington Capitals,17/4,13/4,57/100
Anaheim Ducks,Nashville Predators,26/25,273/100,56/25
2015-03-15
Washington Capitals,Boston Bruins,123/100,129/50,39/20
Ottawa Senators,Philadelphia Flyers,24/25,303/100,23/10
Dallas Stars,St.Louis Blues,69/50,29/10,79/50
Columbus Blue Jackets,Carolina Hurricanes,28/25,143/50,2/1
New York Rangers,Florida Panthers,73/100,301/100,159/50
Pittsburgh Penguins,Detroit Red Wings,13/10,137/50,44/25
Colorado Avalanche,Calgary Flames,23/20,69/25,101/50
Los Angeles Kings,Nashville Predators,21/20,269/100,227/100
Arizona Coyotes,New Jersey Devils,37/20,131/50,129/100
St.Louis Blues,Minnesota Wild,107/100,69/25,11/5
2015-03-14
Buffalo Sabres,New York Rangers,111/25,88/25,13/25
Carolina Hurricanes,Florida Panthers,34/25,273/100,169/100
New York Islanders,Montreal Canadiens,71/50,133/50,41/25
