"Sean Monahan" C 0 0 -2 2 16:45
"Mason Raymond" LW 0 0 0 3 17:02
"Kris Russell" D 0 0 -2 1 19:57
"Devin Setoguchi" RW 0 0 -2 0 12:31
"Ladislav Smid" D 0 0 0 3 20:19
"Matt Stajan" C 0 0 0 0 11:48
"Dennis Wideman" D 0 0 -1 1 22:09

"Brian Elliott" G 1 24 59:34

"David Backes" C 1 0 0 3 17:15
"Jay Bouwmeester" D 0 0 2 1 24:45
"Ian Cole" D 0 0 0 3 16:02
"Barret Jackman" D 0 0 0 2 15:47
"Maxim Lapierre" C 0 0 0 2 13:04
"Jori Lehtera" C 0 0 1 0 12:54
"Jordan Leopold" D 0 0 0 0 15:16
"Joakim Lindstrom" C 1 0 1 3 13:16
"T.J. Oshie" C 0 0 0 5 16:44
"Steve Ott" C 0 0 0 0 15:24
"Alex Pietrangelo" D 1 0 0 3 24:07
"Chris Porter" C 0 0 0 3 8:52
"Ryan Reaves" RW 0 0 0 0 9:38
"Jaden Schwartz" C 0 1 1 3 13:22
"Kevin Shattenkirk" D 0 3 2 1 21:55
"Paul Stastny" C 0 3 1 3 17:18
"Alex Steen" C 0 1 1 2 18:10
"Vladimir Tarasenko" RW 1 0 1 5 13:56

30 http://www.hockey-reference.com/boxscores/201410110TBL.html 2014-10-11 "Ottawa Senators" "Tampa Bay Lightning" 3 2
"Robin Lehner" G 2 40 65:00

"Mark Borowiecki" D 0 0 0 2 16:52
"Cody Ceci" D 0 0 0 2 24:07
"Alex Chiasson" RW 0 1 0 2 16:55
"Jared Cowen" D 0 0 1 0 13:37
"Eric Gryba" D 0 0 0 2 16:47
"Mike Hoffman" CLW 0 0 0 3 14:55
"Erik Karlsson" D 1 0 1 5 25:54
"Curtis Lazar" CRW 0 0 0 0 14:38
"David Legwand" C 0 0 0 1 16:54
"Clarke MacArthur" LW 0 0 0 5 18:48
"Milan Michalek" RW 0 0 0 1 18:43
"Chris Neil" RW 0 0 0 0 11:13
"Chris Phillips" D 0 0 0 1 27:18
"Bobby Ryan" LW 0 1 1 2 16:19
"Zack Smith" C 0 0 0 2 13:15
"Mark Stone" RW 1 0 1 2 11:37
"Kyle Turris" C 0 1 0 3 19:58
"Mika Zibanejad" C 0 0 1 1 15:50

"Ben Bishop" G 2 34 64:46

"Brian Boyle" C 0 1 1 3 13:09
"J.T. Brown" RW 0 0 -1 5 13:08
"Ryan Callahan" RW 0 0 -1 2 20:45
"Matt Carle" D 0 0 0 2 21:43
"Brett Connolly" RW 1 0 1 2 8:37
"Valtteri Filppula" C 0 1 0 3 17:38
"Jason Garrison" D 0 0 -1 3 20:28
"Radko Gudas" D 0 0 -1 0 20:08
"Victor Hedman" D 1 0 0 3 23:06
"Tyler Johnson" C 0 0 0 1 18:17
"Alex Killorn" C 0 0 0 3 17:00
"Nikita Kucherov" RW 0 0 -1 0 12:02
"Brenden Morrow" LW 0 0 1 1 9:31
"Vladislav Namestnikov" C 0 0 -1 0 12:02
"Ondrej Palat" LW 0 0 -1 5 20:55
"Steven Stamkos" C 0 1 -1 4 23:33
"Anton Stralman" D 0 0 0 2 22:27
"Andrej Sustr" D 0 0 0 1 17:45

31 http://www.hockey-reference.com/boxscores/201410110TOR.html 2014-10-11 "Pittsburgh Penguins" "Toronto Maple Leafs" 5 2
"Marc-Andre Fleury" G 2 25 59:50

"Craig Adams" RW 0 0 0 0 12:25
"Blake Comeau" RW 0 0 0 1 12:41
"Sidney Crosby" C 1 2 0 4 16:38
"Simon Despres" D 0 0 1 1 14:09
"Steve Downie" RW 0 0 0 0 12:22
"Pascal Dupuis" LW 0 0 1 5 17:56
"Christian Ehrhoff" D 0 1 2 3 20:29
"Marcel Goc" C 0 0 0 2 13:23
"Patric Hornqvist" RW 1 1 1 9 14:06
"Chris Kunitz" LW 1 0 0 4 15:14
"Kris Letang" D 0 2 0 1 21:16
"Olli Maatta" D 0 0 0 1 17:58
"Evgeni Malkin" C 1 2 1 3 15:27
"Paul Martin" D 0 1 1 3 24:09
"Rob Scuderi" D 0 0 0 0 18:39
"Zach Sill" C 0 0 1 0 9:42
"Nick Spaling" C 0 0 1 1 13:01
"Brandon Sutter" CRW 1 0 1 3 18:50

"Jonathan Bernier" G 5 41 60:00

"Tyler Bozak" C 1 0 0 2 16:31
"David Clarkson" RW 0 0 0 1 15:16
"Jake Gardiner" D 0 1 -2 0 23:04
"Peter Holland" C 0 0 -1 1 10:01
"Nazem Kadri" C 0 0 -1 1 17:44
"Phil Kessel" RW 0 0 -1 1 16:51
"Leo Komarov" C 0 0 0 0 14:58
"Brandon Kozun" RW 0 0 -1 0 12:05
"Joffrey Lupul" LW 1 0 -1 5 17:57
"Richard Panik" RW 0 0 -1 0 8:17
"Stuart Percy" D 0 1 0 2 20:21
"Dion Phaneuf" D 0 0 0 2 19:40
"Roman Polak" D 0 0 0 1 20:49
"Morgan Rielly" D 0 1 -2 3 21:53
"Stephane Robidas" D 0 0 0 0 13:33
"Mike Santorelli" C 0 0 0 0 12:15
"James van Riemsdyk" LW 0 0 0 4 18:02
"Daniel Winnik" CLW 0 0 0 2 12:31

32 http://www.hockey-reference.com/boxscores/201410110VAN.html 2014-10-11 "Edmonton Oilers" "Vancouver Canucks" 4 5
"Viktor Fasth" G 4 43 65:00

"Mark Arcobello" RW 1 1 0 3 14:59
"Leon Draisaitl" C 0 0 1 0 9:24
"Jordan Eberle" C 0 0 0 3 20:49
"Mark Fayne" D 0 1 1 1 19:03
"Andrew Ference" D 0 0 0 0 21:07
"Boyd Gordon" C 0 0 0 1 19:57
"Taylor Hall" LW 0 0 0 5 19:13
"Matt Hendricks" C 0 0 0 2 14:44
"Brad Hunt" D 1 0 0 1 21:07
"Jesse Joensuu" LW 1 0 1 1 13:01
"Nikita Nikitin" D 0 0 1 0 22:20
"Ryan Nugent-Hopkins" C 0 0 0 3 19:40
"David Perron" LW 0 2 -1 2 15:09
"Jeff Petry" D 0 0 0 3 19:21
"Benoit Pouliot" LW 0 1 1 0 12:53
"Teddy Purcell" RW 0 2 -1 1 13:49
"Justin Schultz" D 0 0 0 1 22:29
"Nail Yakupov" RW 1 0 1 2 9:50

"Ryan Miller" G 4 29 64:36

"Kevin Bieksa" D 0 0 -2 4 22:16
"Nick Bonino" C 1 0 1 5 19:37
"Alexandre Burrows" LW 0 1 1 2 17:06
"Derek Dorsett" RW 0 0 0 1 8:47
"Alexander Edler" D 0 1 1 2 23:51
"Dan Hamhuis" D 0 1 0 1 23:32
"Jannik Hansen" LW 0 0 0 1 9:46
"Chris Higgins" LW 0 0 1 3 17:59
"Zack Kassian" RW 0 0 -2 1 11:15
"Shawn Matthias" C 0 0 0 1 9:33
"Brad Richardson" C 0 0 -2 2 13:03
"Luca Sbisa" D 0 0 -1 1 17:22
"Daniel Sedin" LW 0 3 0 6 22:49
"Henrik Sedin" C 1 1 0 3 22:44
"Ryan Stanton" D 0 0 -1 1 14:47
"Chris Tanev" D 0 0 1 1 22:11
"Linden Vey" RW 1 0 -2 3 17:54
"Radim Vrbata" RW 1 1 0 5 20:37

