"Dougie Hamilton" D 0 0 -1 1 19:47
"Chris Kelly" CLW 0 0 0 0 16:39
"Torey Krug" D 0 0 -1 1 22:39
"Milan Lucic" LW 0 0 -1 0 15:02
"Brad Marchand" LW 0 0 1 4 16:46
"Adam McQuaid" D 0 0 0 0 20:42
"Kevan Miller" D 0 0 1 0 17:06
"Daniel Paille" LW 0 0 0 1 10:40
"Bobby Robins" C 0 0 0 0 7:48
"Dennis Seidenberg" D 0 0 0 0 18:05
"Reilly Smith" RW 0 0 1 1 15:26
"Carl Soderberg" C 0 0 -1 2 18:13
"Ryan Spooner" C 0 0 0 0 13:01

"Jimmy Howard" G 1 17 60:00

"Justin Abdelkader" LW 1 0 0 3 17:34
"Joakim Andersson" C 0 0 0 0 12:08
"Danny DeKeyser" D 0 1 0 2 20:05
"Jonathan Ericsson" D 0 0 -1 0 20:25
"Johan Franzen" LW 0 2 0 2 16:21
"Luke Glendening" C 0 0 0 1 14:43
"Darren Helm" CLW 0 1 0 0 12:51
"Tomas Jurco" RW 0 0 0 0 14:08
"Jakub Kindl" D 0 0 0 1 13:56
"Niklas Kronwall" D 0 0 1 0 21:53
"Drew Miller" LW 0 0 0 2 13:03
"Andrej Nestrasil" RW 0 0 0 1 12:56
"Gustav Nyquist" RW 1 0 0 2 12:46
"Kyle Quincey" D 0 0 0 2 17:19
"Riley Sheahan" C 0 0 0 1 14:48
"Brendan Smith" D 0 0 0 1 21:31
"Tomas Tatar" C 0 0 0 3 14:29
"Henrik Zetterberg" LW 0 0 0 3 19:04

9 http://www.hockey-reference.com/boxscores/201410090EDM.html 2014-10-09 "Calgary Flames" "Edmonton Oilers" 5 2
"Karri Ramo" G 2 40 60:00

"Mikael Backlund" C 0 1 0 2 19:47
"Brandon Bollig" LW 0 0 0 0 9:51
"Lance Bouma" C 0 1 2 1 13:46
"T.J. Brodie" D 1 0 2 1 21:55
"Paul Byron" C 0 1 1 2 14:31
"Joe Colborne" C 0 3 3 0 13:16
"Raphael Diaz" D 0 0 1 0 14:37
"Deryk Engelland" D 0 0 1 1 22:07
"John Gaudreau" LW 0 0 1 0 12:54
"Mark Giordano" D 0 1 2 0 22:59
"Curtis Glencross" C 0 1 0 2 18:35
"Jiri Hudler" C 1 1 1 2 13:46
"David Jones" RW 0 0 0 2 16:22
"Sean Monahan" C 0 1 1 4 14:46
"Mason Raymond" LW 3 0 3 5 15:34
"Kris Russell" D 0 0 1 1 21:11
"Ladislav Smid" D 0 0 1 1 17:11
"Matt Stajan" C 0 0 0 2 12:24

"Ben Scrivens" G 5 26 59:05

"Mark Arcobello" RW 0 0 0 2 14:52
"Leon Draisaitl" C 0 0 -1 1 14:47
"Jordan Eberle" C 0 0 -2 2 18:32
"Mark Fayne" D 0 0 -3 3 18:19
"Andrew Ference" D 0 0 -1 0 17:40
"Boyd Gordon" C 0 0 -1 4 10:47
"Taylor Hall" LW 1 0 -2 4 19:19
"Matt Hendricks" C 0 0 -1 1 11:24
"Brad Hunt" D 0 0 -1 1 20:13
"Jesse Joensuu" LW 0 0 -1 2 10:24
"Nikita Nikitin" D 0 0 -1 2 18:55
"Ryan Nugent-Hopkins" C 0 1 -2 2 20:35
"David Perron" LW 0 1 0 3 16:16
"Jeff Petry" D 0 0 0 2 17:42
"Benoit Pouliot" LW 0 0 -1 2 15:30
"Teddy Purcell" RW 1 0 0 4 15:09
"Justin Schultz" D 0 1 -2 3 23:28
"Nail Yakupov" RW 0 1 -1 2 14:07

10 http://www.hockey-reference.com/boxscores/201410090MIN.html 2014-10-09 "Colorado Avalanche" "Minnesota Wild" 0 5
"Semyon Varlamov" G 5 38 40:00
"Reto Berra" G 0 10 20:00

"Tyson Barrie" D 0 0 -3 2 21:06
"Daniel Briere" C 0 0 -2 1 14:57
"Marc-Andre Cliche" C 0 0 -1 1 10:39
"Matt Duchene" C 0 0 0 1 19:56
"Dennis Everberg" RW 0 0 0 3 7:56
"Nate Guenin" D 0 0 -1 0 14:49
"Jan Hejda" D 0 0 -1 1 17:09
"Nick Holden" D 0 0 -2 2 20:02
"Jarome Iginla" RW 0 0 0 0 18:11
"Erik Johnson" D 0 0 -1 0 22:50
"Gabriel Landeskog" LW 0 0 -1 0 16:26
"Nathan MacKinnon" C 0 0 -2 0 16:02
"Jamie McGinn" LW 0 0 -3 0 12:30
"Cody McLeod" LW 0 0 0 1 10:20
"Ryan O'Reilly" C 0 0 -1 2 19:14
"Brad Stuart" D 0 0 -2 1 20:25
"Maxime Talbot" C 0 0 -3 0 12:34
"Alex Tanguay" LW 0 0 -1 1 16:54

"Darcy Kuemper" G 0 16 59:52

"Jonas Brodin" D 0 0 3 5 21:21
"Kyle Brodziak" C 0 0 0 3 12:05
"Ryan Carter" LW 0 0 0 2 11:01
"Matt Cooke" C 0 0 0 0 13:49
"Charlie Coyle" CRW 0 1 2 0 13:05
"Mathew Dumba" D 0 0 0 1 16:27
"Christian Folin" D 0 0 0 2 17:32
"Mikael Granlund" C 0 2 4 3 15:34
"Erik Haula" LW 0 0 1 1 13:37
"Mikko Koivu" C 0 0 0 1 16:54
"Nino Niederreiter" RW 1 0 1 7 13:35
"Zach Parise" LW 1 2 4 9 15:09
"Jason Pominville" RW 1 1 2 4 15:01
"Marco Scandella" D 0 0 2 2 18:11
"Jared Spurgeon" D 1 0 2 2 21:13
"Ryan Suter" D 1 1 3 3 25:31
"Thomas Vanek" LW 0 0 0 2 15:38
"Jason Zucker" LW 0 0 0 1 12:25

11 http://www.hockey-reference.com/boxscores/201410090NSH.html 2014-10-09 "Ottawa Senators" "Nashville Predators" 2 3
"Craig Anderson" G 3 37 59:19

"Mark Borowiecki" D 0 1 1 0 13:45
"Cody Ceci" D 0 1 0 1 18:57
"Alex Chiasson" RW 1 0 -1 3 15:39
"Jared Cowen" D 0 0 -2 1 17:22
"Eric Gryba" D 0 0 1 1 13:27
"Mike Hoffman" CLW 0 0 0 0 11:57
"Erik Karlsson" D 0 0 -2 2 28:17
"Curtis Lazar" CRW 0 0 0 2 15:04
"David Legwand" C 0 0 0 0 16:56
"Clarke MacArthur" LW 0 1 0 1 18:43
"Milan Michalek" RW 0 0 -1 0 16:04
"Chris Neil" RW 0 0 0 1 12:40
"Chris Phillips" D 0 1 0 2 18:55
"Bobby Ryan" LW 0 0 0 0 17:02
"Zack Smith" C 0 0 0 0 13:46
"Mark Stone" RW 0 0 0 3 9:45
"Kyle Turris" C 1 0 0 2 20:27
"Mika Zibanejad" C 0 0 -1 1 15:49

"Pekka Rinne" G 2 20 60:00

"Gabriel Bourque" LW 0 0 -1 4 17:34
"Rich Clune" LW 0 0 0 0 5:30
"Mattias Ekholm" D 0 0 0 0 14:38
"Ryan Ellis" D 0 1 1 5 15:34
"Filip Forsberg" C 0 2 2 0 15:11
"Paul Gaustad" C 0 2 2 1 14:05
"Calle Jarnkrok" C 0 0 0 1 13:07
"Olli Jokinen" C 0 0 0 6 14:47
"Seth Jones" D 0 0 0 1 19:43
"Roman Josi" D 0 0 0 0 27:59
"James Neal" LW 0 0 -1 7 16:45
"Eric Nystrom" LW 1 0 2 1 11:24
"Mike Ribeiro" C 0 0 -1 1 18:36
"Derek Roy" C 0 1 0 1 14:49
"Craig Smith" C 1 0 0 3 13:45
"Anton Volchenkov" D 0 0 0 1 15:33
"Shea Weber" D 1 0 1 4 26:52
"Colin Wilson" C 0 0 0 1 14:25

12 http://www.hockey-reference.com/boxscores/201410090PHI.html 2014-10-09 "New Jersey Devils" "Philadelphia Flyers" 6 4
"Cory Schneider" G 4 39 60:00

"Mike Cammalleri" CW 2 0 1 7 19:00
